era,box_size,rank,classes
luclin,6,8,Magician|Magician|Magician|Magician|Shaman|Wizard
luclin,6,9,Warrior|Cleric|Enchanter|Bard|Wizard|Ranger
pop,2,1,Shadowknight|Shaman
pop,2,2,Monk|Shaman
pop,2,3,Enchanter|Cleric
pop,2,4,Warrior|Cleric
pop,2,5,Enchanter|Druid
pop,2,6,Ranger|Druid
pop,2,7,Magician|Shaman
pop,2,8,Beastlord|Shaman
pop,2,9,Shadowknight|Druid
pop,2,10,Druid|Shaman
pop,3,1,Shadowknight|Shaman|Monk
pop,3,2,Shadowknight|Shaman|Ranger
pop,3,3,Enchanter|Cleric|Ranger
pop,3,4,Warrior|Cleric|Enchanter
pop,3,5,Shadowknight|Shaman|Wizard
pop,3,6,Magician|Shaman|Enchanter
pop,3,7,Shadowknight|Druid|Wizard
pop,3,8,Beastlord|Shaman|Ranger
pop,4,1,Shadowknight|Shaman|Bard|Monk
pop,4,2,Warrior|Cleric|Shaman|Ranger
pop,4,3,Shadowknight|Shaman|Enchanter|Wizard
pop,4,4,Enchanter|Cleric|Bard|Wizard
pop,4,5,Shadowknight|Shaman|Druid|Magician
pop,4,6,Warrior|Cleric|Bard|Ranger
pop,4,7,Shadowknight|Druid|Enchanter|Wizard
pop,4,8,Warrior|Druid|Shaman|Ranger
pop,5,1,Warrior|Cleric|Shaman|Bard|Monk
pop,5,2,Warrior|Cleric|Shaman|Bard|Ranger
pop,5,3,Shadowknight|Shaman|Bard|Monk|Ranger
pop,5,4,Shadowknight|Shaman|Enchanter|Wizard|Wizard
pop,5,5,Enchanter|Cleric|Bard|Magician|Wizard
pop,5,6,Warrior|Cleric|Enchanter|Wizard|Ranger
pop,5,7,Shadowknight|Shaman|Bard|Ranger|Rogue
pop,5,8,Magician|Magician|Shaman|Enchanter|Cleric
pop,6,1,Warrior|Cleric|Shaman|Bard|Monk|Monk
pop,6,2,Warrior|Cleric|Shaman|Bard|Monk|Ranger
pop,6,3,Warrior|Cleric|Shaman|Bard|Ranger|Rogue
pop,6,4,Shadowknight|Cleric|Shaman|Enchanter|Wizard|Wizard
pop,6,5,Enchanter|Cleric|Bard|Magician|Magician|Wizard
pop,6,6,Warrior|Cleric|Enchanter|Bard|Wizard|Ranger
pop,6,7,Magician|Magician|Magician|Magician|Shaman|Wizard
pop,6,8,Warrior|Cleric|Shaman|Enchanter|Monk|Rogue
pop,6,9,Shadowknight|Shaman|Bard|Monk|Ranger|Beastlord
god,2,1,Shadowknight|Shaman
god,2,2,Warrior|Cleric
god,2,3,Enchanter|Cleric
god,2,4,Enchanter|Druid
god,2,5,Magician|Shaman
god,2,6,Monk|Shaman
god,2,7,Rogue|Shaman
god,2,8,Ranger|Druid
god,2,9,Beastlord|Shaman
god,2,10,Shadowknight|Druid
god,3,1,Shadowknight|Shaman|Monk
god,3,2,Warrior|Cleric|Bard
god,3,3,Shadowknight|Shaman|Berserker
god,3,4,Shadowknight|Shaman|Magician
god,3,5,Shadowknight|Shaman|Enchanter
god,3,6,Enchanter|Cleric|Magician
god,3,7,Warrior|Cleric|Rogue
god,3,8,Shadowknight|Druid|Wizard
god,4,1,Shadowknight|Shaman|Bard|Monk
god,4,2,Warrior|Cleric|Shaman|Bard
god,4,3,Shadowknight|Shaman|Enchanter|Wizard
god,4,4,Enchanter|Cleric|Bard|Magician
god,4,5,Shadowknight|Shaman|Berserker|Bard
god,4,6,Warrior|Cleric|Bard|Rogue
god,4,7,Shadowknight|Shaman|Magician|Magician
god,4,8,Warrior|Druid|Shaman|Magician
god,5,1,Warrior|Cleric|Shaman|Bard|Monk
god,5,2,Warrior|Cleric|Shaman|Bard|Berserker
god,5,3,Shadowknight|Shaman|Bard|Monk|Berserker
god,5,4,Shadowknight|Shaman|Enchanter|Wizard|Magician
god,5,5,Enchanter|Cleric|Bard|Magician|Magician
god,5,6,Warrior|Cleric|Bard|Rogue|Monk
god,5,7,Shadowknight|Shaman|Magician|Magician|Magician
god,5,8,Warrior|Cleric|Shaman|Bard|Rogue
god,6,1,Warrior|Cleric|Shaman|Bard|Monk|Berserker
god,6,2,Warrior|Cleric|Shaman|Bard|Monk|Monk
god,6,3,Warrior|Cleric|Shaman|Bard|Rogue|Monk
god,6,4,Shadowknight|Cleric|Shaman|Enchanter|Wizard|Wizard
god,6,5,Enchanter|Cleric|Bard|Magician|Magician|Wizard
god,6,6,Warrior|Cleric|Shaman|Bard|Berserker|Berserker
god,6,7,Shadowknight|Shaman|Bard|Monk|Berserker|Rogue
god,6,8,Magician|Magician|Magician|Magician|Shaman|Wizard
god,6,9,Shadowknight|Shaman|Enchanter|Wizard|Magician|Magician
oow,2,1,Shadowknight|Shaman
oow,2,2,Warrior|Cleric
oow,2,3,Enchanter|Cleric
oow,2,4,Enchanter|Druid
oow,2,5,Magician|Shaman
oow,2,6,Monk|Shaman
oow,2,7,Berserker|Shaman
oow,2,8,Ranger|Druid
oow,2,9,Beastlord|Shaman
oow,2,10,Shadowknight|Druid
oow,3,1,Shadowknight|Shaman|Berserker
oow,3,2,Shadowknight|Shaman|Monk
oow,3,3,Warrior|Cleric|Bard
oow,3,4,Shadowknight|Shaman|Magician
oow,3,5,Shadowknight|Shaman|Enchanter
oow,3,6,Enchanter|Cleric|Magician
oow,3,7,Warrior|Cleric|Rogue
oow,3,8,Shadowknight|Druid|Wizard
oow,4,1,Shadowknight|Shaman|Bard|Berserker
oow,4,2,Shadowknight|Shaman|Bard|Monk
oow,4,3,Warrior|Cleric|Shaman|Bard
oow,4,4,Shadowknight|Shaman|Enchanter|Wizard
oow,4,5,Enchanter|Cleric|Bard|Magician
oow,4,6,Shadowknight|Shaman|Berserker|Berserker
oow,4,7,Warrior|Cleric|Bard|Rogue
oow,4,8,Shadowknight|Shaman|Magician|Magician
oow,5,1,Warrior|Cleric|Shaman|Bard|Berserker
oow,5,2,Warrior|Cleric|Shaman|Bard|Monk
oow,5,3,Shadowknight|Shaman|Bard|Monk|Berserker
oow,5,4,Shadowknight|Shaman|Enchanter|Wizard|Magician
oow,5,5,Enchanter|Cleric|Bard|Magician|Magician
oow,5,6,Warrior|Cleric|Bard|Rogue|Berserker
oow,5,7,Shadowknight|Shaman|Bard|Berserker|Berserker
oow,5,8,Warrior|Cleric|Shaman|Bard|Rogue
oow,6,1,Warrior|Cleric|Shaman|Bard|Monk|Berserker
oow,6,2,Warrior|Cleric|Shaman|Bard|Berserker|Berserker
oow,6,3,Warrior|Cleric|Shaman|Bard|Monk|Monk
oow,6,4,Shadowknight|Cleric|Shaman|Enchanter|Wizard|Wizard
oow,6,5,Enchanter|Cleric|Bard|Magician|Magician|Wizard
oow,6,6,Shadowknight|Shaman|Bard|Monk|Berserker|Rogue
oow,6,7,Magician|Magician|Magician|Magician|Shaman|Wizard
oow,6,8,Shadowknight|Shaman|Enchanter|Wizard|Magician|Magician
oow,6,9,Warrior|Cleric|Shaman|Enchanter|Berserker|Rogue
